topic,week,avg_sentiment,volume
Stock Market,2021-06-07/2021-06-13,0.5872,2
Stock Market,2021-07-12/2021-07-18,0.9698,1
Stock Market,2021-07-19/2021-07-25,0.9855,1
Stock Market,2021-07-26/2021-08-01,-0.9603,1
Stock Market,2021-09-06/2021-09-12,0.6504,1
Stock Market,2021-10-18/2021-10-24,0.9818,1
Stock Market,2021-11-29/2021-12-05,0.9406,1
Stock Market,2022-01-03/2022-01-09,0.9944,1
Stock Market,2022-01-24/2022-01-30,0.9755,2
Stock Market,2022-02-14/2022-02-20,0.9952,1
Stock Market,2022-04-11/2022-04-17,0.9926,1
Stock Market,2022-04-25/2022-05-01,0.2382,1
Stock Market,2022-06-20/2022-06-26,0.9388,1
Stock Market,2022-06-27/2022-07-03,0.9983,1
Stock Market,2022-07-04/2022-07-10,0.9991,1
Stock Market,2022-07-25/2022-07-31,0.9865,1
Stock Market,2022-08-08/2022-08-14,0.992,1
Stock Market,2022-08-15/2022-08-21,0.9881,1
Stock Market,2022-08-22/2022-08-28,0.994,1
Stock Market,2022-09-12/2022-09-18,-0.7896,1
Stock Market,2022-09-26/2022-10-02,0.9769,1
Stock Market,2022-10-10/2022-10-16,-0.2534,1
Stock Market,2022-10-17/2022-10-23,-0.9897,1
Stock Market,2022-11-07/2022-11-13,0.9978,1
Stock Market,2022-11-21/2022-11-27,0.03765000000000002,2
Stock Market,2022-11-28/2022-12-04,0.9946,1
Stock Market,2023-01-16/2023-01-22,0.1997,1
Stock Market,2023-01-23/2023-01-29,0.8225,1
Stock Market,2023-02-06/2023-02-12,0.14915,2
Stock Market,2023-02-13/2023-02-19,0.9959,1
Stock Market,2023-02-20/2023-02-26,0.9932,1
Stock Market,2023-02-27/2023-03-05,0.9978,1
Stock Market,2023-03-06/2023-03-12,0.9999,1
Stock Market,2023-03-20/2023-03-26,0.9287,1
Stock Market,2023-08-28/2023-09-03,0.9947,1
Stock Market,2023-09-18/2023-09-24,0.12230000000000002,2
Stock Market,2023-10-09/2023-10-15,0.9206,1
Stock Market,2023-10-23/2023-10-29,0.9592,1
Stock Market,2023-11-20/2023-11-26,0.9949,1
Stock Market,2023-11-27/2023-12-03,0.8439,1
Stock Market,2024-01-01/2024-01-07,0.945,1
Stock Market,2024-05-06/2024-05-12,0.9894,1
Stock Market,2024-06-03/2024-06-09,0.9149,1
Stock Market,2024-06-10/2024-06-16,0.4876333333333333,3
Stock Market,2024-06-24/2024-06-30,0.9435,1
Stock Market,2024-07-08/2024-07-14,0.9858,1
Stock Market,2024-07-29/2024-08-04,0.9922,1
